source_supplier,target_supplier,dependency_strength
S038,S039,0.23
S006,S027,0.73
S037,S034,0.45
S017,S014,0.74
S021,S016,0.41
S009,S020,0.57
S005,S001,0.57
S037,S007,0.26
S014,S033,0.41
S023,S005,0.9
S024,S019,0.33
S035,S020,0.69
S034,S001,0.73
S036,S020,0.95
S007,S009,0.41
S007,S036,0.32
S019,S039,0.37
S022,S014,0.75
S017,S033,0.59
S004,S006,0.71
S018,S003,0.2
S009,S017,0.33
S029,S036,0.76
S036,S001,0.29
S010,S035,0.23
S024,S038,0.64
S028,S009,0.23
S024,S003,0.92
S014,S016,0.73
S023,S036,0.91
S027,S040,0.8
S016,S011,0.98
S012,S027,0.22
S022,S027,0.84
S016,S018,0.33
S007,S025,0.9
S031,S015,0.36
S030,S023,0.44
S015,S015,0.22
S013,S026,0.46
S005,S018,0.48
S033,S026,0.74
S035,S022,0.95
S008,S017,0.34
S017,S003,0.29
S028,S023,0.78
S021,S028,0.68
S033,S008,0.51
S037,S013,0.4
S028,S001,0.62
S035,S013,0.49
S005,S022,0.7
S008,S020,0.61
S027,S021,0.52
S019,S036,0.3
S027,S025,0.74
S012,S040,0.66
S026,S036,0.87
S020,S019,0.37
S038,S039,0.72
S030,S029,0.55
S014,S033,0.58
S011,S006,0.43
S040,S022,0.27
S016,S020,0.38
S013,S010,0.22
S016,S031,0.69
S005,S030,0.53
S037,S013,0.77
S025,S032,0.52
S010,S001,0.91
S007,S028,0.38
S034,S030,0.24
S016,S008,0.57
S030,S034,0.99
S039,S021,0.96
S029,S040,0.85
S033,S028,0.86
